Title,Specialization,Salary,Age,Employment,Work schedule,Experience years,Experience month,Citizenship,Sex
Frontend-разработчик(React),"['Программист, разработчик']",305500.0,30,,,2,8,Россия,True
Frontend-разработчик,"['Программист, разработчик']",305500.0,,,,10,,Казахстан,True
"React.js developer (JavaScript, React)","['Программист, разработчик']",,38,"стажировка, частичная занятость, полная занятость","полный день, удаленная работа",17,11,Казахстан,True
Middle Frontend Developer (ReactJS + TypeScript),"['Программист, разработчик']",824850.0,25,,,2,10,"Армения, Казахстан",True
React developer,"['Программист, разработчик']",488800.0,27,,,1,9,Россия,True
Frontend-разработчик,"['Programmer, developer']",,28, full time,full day,3,4,Россия,False
Frontend разработчик (React js),"['Программист, разработчик']",,24,"частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",4,1,Казахстан,True
Full Stack Developer (React),"['Programmer, developer']",404478.0,19,,,1,8,Узбекистан,False
Frontend-разработчик,"['Программист, разработчик']",,25,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",6,2,Казахстан,True
Data analyst,"['Аналитик', 'Программист, разработчик', 'Дата-сайентист']",,23,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",1,4,Казахстан,True
Frontend-разработчик,"['Programmer, developer']",,28, full time,full day,3,9,Казахстан,False
"Web-программист, java script-разработчик, React-разработчик, верстальщик, frontend-разработчик","['Программист, разработчик']",,37,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",6,2,Казахстан,True
"Frontend-разработчик(React, Redux, Typescript)","['Программист, разработчик']",,,"стажировка, полная занятость","полный день, удаленная работа",12,,Казахстан,True
Frontend-разработчик React,"['Программист, разработчик']",120000,20,,,,,Казахстан,True
"Frontend-разработчик , Vue js, React js(удаленно )","['Программист, разработчик']",,23,"частичная занятость, проектная работа",удаленная работа,2,7,Казахстан,True
"Фронтенд react, javascript разработчик","['Другое', 'Программист, разработчик']",305500.0,28,,,3,2,Туркменистан,True
React frontend developer,"['Программист, разработчик']",611000.0,22,,,1,7,Казахстан,True
Frontend Developer (ReactJS),"['Программист, разработчик']",,32,полная занятость,полный день,10,3,Казахстан,True
Frontend Developer (ReactJS),"['Руководитель группы разработки', 'Программист, разработчик']",700000,22,,,4,3,Казахстан,True
"Frontend-developer (React, Vue)","['Программист, разработчик']",,23,"частичная занятость, проектная работа, полная занятость","гибкий график, удаленная работа",3,6,Казахстан,True
Angular/React/Vue Developer,"['Программист, разработчик']",,21,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",1,9,Казахстан,True
Front end (React | TS) 💻 | Mobile ( React native | Typescript) 📱 | Backend (Node | Typescript),"['Программист, разработчик', 'Специалист технической поддержки']",,22,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",2,6,Кыргызстан,True
Ruby Developer,"['Programmer, developer']",1572970.0,51,,,7,10,Казахстан,False
"Frontend-разработчик (React, Vue) - Middle","['Программист, разработчик']",916500.0,26,,,5,4,Россия,True
"Frontend developer (React, Vue, TS)","['Программист, разработчик']",1123550.0,23,,,2,7,Казахстан,True
Frontend developer (React),"['Программист, разработчик']",,29,"частичная занятость, полная занятость","гибкий график, полный день, удаленная работа",6,11,Казахстан,True
"frontend разработчик (react, react-native), преподаватель онлайн курсов frontend и backend части.","['Программист, разработчик', 'Учитель, преподаватель, педагог']",,29,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, вахтовый метод, удаленная работа",10,11,Казахстан,True
Главный инженер-программист,"['Программист, разработчик']",449420.0,54,,,14,10,Казахстан,True
Web-разработчик,"['Программист, разработчик']",,,"стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",11,,Россия,True
Frontend Developer (React / Vue),"['Программист, разработчик']",,30,"стажировка, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",,,Казахстан,True
"Frontend Developer (JS, React, Vue, TS)","['Программист, разработчик']",500000,21,,,2,1,Казахстан,True
"Web developer, Front End (React JS | Vue JS)","['Programmer, developer']",449420.0,26,,,3,9,Узбекистан,False
Frontend разработчик,"['Программист, разработчик']",733200.0,21,,,1,3,Россия,True
"React native dev, QA engineer, Front-end (angular), back-end (c#)","['Руководитель группы разработки', 'Программист, разработчик', 'Тестировщик']",,30,полная занятость,"полный день, удаленная работа",8,9,Казахстан,True
Frontend-разработчик,"['Программист, разработчик']",,31,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день",10,2,Россия,True
Frontend-разработчик,"['Программист, разработчик']",250000,25,,,3,5,Казахстан,True
"Back:Python Django DRF, Front: React, MobileDev: React-Native","['Программист, разработчик']",1000000,32,,,8,3,Казахстан,True
Frontend Developer(React),['Другое'],150000,26,,,,,Казахстан,True
Frontend-разработчик JavaScript TypeScript React Vue Svelte,"['Программист, разработчик']",,,"стажировка, частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",4,8,Россия,True
Junior Front-end Software Engineer,['Other'],,22, part time,"flexible schedule, shift schedule, remote working",11,,Казахстан,False
Frontend-разработчик,"['Программист, разработчик']",,26,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",5,6,Казахстан,True
Full-stack node.js developer,"['Программист, разработчик']",,,частичная занятость,"удаленная работа, гибкий график, сменный график",2,6,Казахстан,True
Аналитик,['Аналитик'],,25,"частичная занятость, полная занятость","гибкий график, полный день, удаленная работа",4,,Казахстан,True
"Frontend разработчик (Vue3/Vuex, React/Redux, JS,HTML,CSS,SCSS)","['Программист, разработчик']",,27,полная занятость,"гибкий график, полный день, удаленная работа",1,2,Казахстан,True
Front-end-разработчик,"['Программист, разработчик']",,29,"стажировка, полная занятость",полный день,9,9,Казахстан,True
Software Developer,"['Programmer, developer']",,23, full time,"remote working, flexible schedule, full day",1,3,Россия,False
Frontend разработчик,"['Programmer, developer']",,41, full time,full day,9,,Казахстан,False
Программист-разработчик,"['Программист, разработчик']",,24,"проектная работа, полная занятость","удаленная работа, гибкий график, полный день",3,5,Казахстан,True
Frontend developer,"['Программист, разработчик']",,27,полная занятость,"удаленная работа, гибкий график, полный день",5,6,Казахстан,True
Software Engineer,"['Программист, разработчик']",,22,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",2,7,Казахстан,True
